Filename;priority_inversion_ronald.wav
Original text;The highest priority task relinquishes the CPU whenever it seeks to lock the semaphore guarding a critical section that is already locked by some other task.
Recognized text;when a lower priority task blocks a higher priority One a priority inversion said to occur consider the following example where priority inversion takes place
Confidence;95.80%
Time needed (seconds);3.98
Real time factor;0.32
Word correct rate;0.00
Word error rate;1.00
Recall;0.38
Precision;0.40
F-Score;0.39
